,compound,create_date,negative,neutral,news_media,positive,tweets_ago
64,0.0,2018-06-28 08:01:07+00:00,0.0,1.0,BBC,0.0,-64
65,-0.5994,2018-06-28 07:25:04+00:00,0.206,0.794,BBC,0.0,-65
66,0.5106,2018-06-28 07:01:02+00:00,0.0,0.777,BBC,0.223,-66
67,-0.7351,2018-06-27 20:01:05+00:00,0.267,0.733,BBC,0.0,-67
68,0.0,2018-06-27 19:02:01+00:00,0.0,1.0,BBC,0.0,-68
69,0.0,2018-06-27 18:00:25+00:00,0.0,1.0,BBC,0.0,-69
70,-0.4215,2018-06-27 16:04:05+00:00,0.259,0.741,BBC,0.0,-70
71,0.0,2018-06-27 15:09:27+00:00,0.0,1.0,BBC,0.0,-71
72,0.0,2018-06-27 14:42:13+00:00,0.0,1.0,BBC,0.0,-72
73,0.0,2018-06-27 13:05:07+00:00,0.0,1.0,BBC,0.0,-73
74,-0.5106,2018-06-27 11:52:00+00:00,0.35,0.65,BBC,0.0,-74
75,0.9403,2018-06-27 11:39:52+00:00,0.0,0.536,BBC,0.464,-75
76,0.0,2018-06-27 11:03:04+00:00,0.0,1.0,BBC,0.0,-76
77,0.0,2018-06-27 09:30:20+00:00,0.0,1.0,BBC,0.0,-77
78,0.6114,2018-06-27 08:47:40+00:00,0.05,0.756,BBC,0.194,-78
79,0.0,2018-06-27 08:01:05+00:00,0.0,1.0,BBC,0.0,-79
80,0.5106,2018-06-27 07:29:04+00:00,0.051,0.791,BBC,0.158,-80
81,0.4939,2018-06-27 07:01:05+00:00,0.0,0.856,BBC,0.144,-81
82,0.0,2018-06-26 21:20:15+00:00,0.0,1.0,BBC,0.0,-82
83,0.0,2018-06-26 19:05:08+00:00,0.0,1.0,BBC,0.0,-83
84,0.296,2018-06-26 18:03:06+00:00,0.074,0.792,BBC,0.134,-84
85,0.0,2018-06-26 17:02:02+00:00,0.0,1.0,BBC,0.0,-85
86,0.0,2018-06-26 16:33:41+00:00,0.0,1.0,BBC,0.0,-86
87,0.0,2018-06-26 16:00:15+00:00,0.0,1.0,BBC,0.0,-87
88,0.0,2018-06-26 14:52:03+00:00,0.0,1.0,BBC,0.0,-88
89,0.836,2018-06-26 14:32:33+00:00,0.0,0.683,BBC,0.317,-89
90,0.6114,2018-06-26 13:12:16+00:00,0.0,0.818,BBC,0.182,-90
91,0.0,2018-06-26 12:58:04+00:00,0.0,1.0,BBC,0.0,-91
92,0.5267,2018-06-26 12:02:04+00:00,0.0,0.673,BBC,0.327,-92
93,0.0,2018-06-26 11:02:03+00:00,0.0,1.0,BBC,0.0,-93
94,0.0,2018-06-26 09:30:00+00:00,0.0,1.0,BBC,0.0,-94
95,-0.2732,2018-06-26 08:00:16+00:00,0.139,0.861,BBC,0.0,-95
96,-0.7717,2018-06-26 07:26:08+00:00,0.295,0.705,BBC,0.0,-96
97,0.5994,2018-06-26 07:00:12+00:00,0.0,0.738,BBC,0.262,-97
98,0.3612,2018-06-25 18:03:04+00:00,0.0,0.815,BBC,0.185,-98
99,0.0,2018-06-25 17:31:08+00:00,0.0,1.0,BBC,0.0,-99
0,0.0,2018-06-27 20:31:32+00:00,0.0,1.0,CBS,0.0,0
1,0.7574,2018-06-27 14:00:01+00:00,0.0,0.711,CBS,0.289,-1
2,0.5574,2018-06-25 18:20:25+00:00,0.0,0.796,CBS,0.204,-2
3,0.1867,2018-06-22 21:19:06+00:00,0.0,0.902,CBS,0.098,-3
4,0.4199,2018-06-22 18:33:53+00:00,0.0,0.811,CBS,0.189,-4
5,0.4926,2018-06-21 23:29:50+00:00,0.0,0.758,CBS,0.242,-5
6,0.3555,2018-06-20 00:39:01+00:00,0.136,0.642,CBS,0.222,-6
7,0.0,2018-06-18 20:27:50+00:00,0.0,1.0,CBS,0.0,-7
8,0.0,2018-06-18 15:00:46+00:00,0.0,1.0,CBS,0.0,-8
9,0.9392,2018-06-17 13:00:01+00:00,0.0,0.507,CBS,0.493,-9
10,0.3595,2018-06-15 18:48:29+00:00,0.0,0.872,CBS,0.128,-10
11,-0.296,2018-06-14 17:30:00+00:00,0.167,0.833,CBS,0.0,-11
12,0.1779,2018-06-14 16:19:32+00:00,0.12,0.734,CBS,0.147,-12
13,-0.5562,2018-06-12 00:19:23+00:00,0.315,0.551,CBS,0.134,-13
14,0.5093,2018-06-11 22:23:06+00:00,0.0,0.829,CBS,0.171,-14
15,-0.296,2018-06-11 19:01:38+00:00,0.167,0.833,CBS,0.0,-15
16,0.0,2018-06-11 14:00:37+00:00,0.0,1.0,CBS,0.0,-16
17,0.0,2018-06-11 06:19:36+00:00,0.0,1.0,CBS,0.0,-17
18,0.4767,2018-06-11 06:04:41+00:00,0.0,0.78,CBS,0.22,-18
19,0.8478,2018-06-11 03:10:33+00:00,0.0,0.594,CBS,0.406,-19
20,0.92,2018-06-11 03:02:06+00:00,0.0,0.537,CBS,0.463,-20
21,0.0,2018-06-11 02:58:30+00:00,0.0,1.0,CBS,0.0,-21
22,0.4404,2018-06-11 02:56:40+00:00,0.0,0.847,CBS,0.153,-22
23,0.836,2018-06-11 02:56:10+00:00,0.0,0.533,CBS,0.467,-23
24,0.0,2018-06-11 02:53:00+00:00,0.0,1.0,CBS,0.0,-24
25,0.6369,2018-06-11 02:47:29+00:00,0.0,0.682,CBS,0.318,-25
26,0.7978,2018-06-11 02:44:50+00:00,0.0,0.457,CBS,0.543,-26
27,0.9523,2018-06-11 02:44:37+00:00,0.0,0.45,CBS,0.55,-27
28,0.5994,2018-06-11 02:33:09+00:00,0.0,0.698,CBS,0.302,-28
29,0.4215,2018-06-11 02:29:18+00:00,0.0,0.877,CBS,0.123,-29
30,0.8932,2018-06-11 02:23:56+00:00,0.0,0.483,CBS,0.517,-30
31,0.0,2018-06-11 02:21:03+00:00,0.0,1.0,CBS,0.0,-31
32,0.0,2018-06-11 02:16:06+00:00,0.0,1.0,CBS,0.0,-32
33,0.8908,2018-06-11 02:11:03+00:00,0.0,0.509,CBS,0.491,-33
34,0.0,2018-06-11 02:05:47+00:00,0.0,1.0,CBS,0.0,-34
35,0.4926,2018-06-11 02:03:31+00:00,0.0,0.738,CBS,0.262,-35
36,0.5093,2018-06-11 01:58:48+00:00,0.0,0.477,CBS,0.523,-36
37,0.7579,2018-06-11 01:53:17+00:00,0.0,0.435,CBS,0.565,-37
38,0.6467,2018-06-11 01:51:16+00:00,0.0,0.752,CBS,0.248,-38
39,0.0,2018-06-11 01:38:23+00:00,0.0,1.0,CBS,0.0,-39
40,0.636,2018-06-11 01:37:36+00:00,0.0,0.724,CBS,0.276,-40
41,0.8834,2018-06-11 01:30:56+00:00,0.0,0.437,CBS,0.563,-41
42,0.0,2018-06-11 01:29:21+00:00,0.0,1.0,CBS,0.0,-42
43,0.7351,2018-06-11 01:26:03+00:00,0.079,0.625,CBS,0.296,-43
44,0.0,2018-06-11 01:25:59+00:00,0.0,1.0,CBS,0.0,-44
45,0.0,2018-06-11 01:24:46+00:00,0.0,1.0,CBS,0.0,-45
46,0.4019,2018-06-11 01:24:12+00:00,0.0,0.838,CBS,0.162,-46
47,0.9151,2018-06-11 01:19:59+00:00,0.0,0.543,CBS,0.457,-47
48,0.6369,2018-06-11 01:12:31+00:00,0.0,0.625,CBS,0.375,-48
49,0.1511,2018-06-11 01:08:28+00:00,0.0,0.898,CBS,0.102,-49
50,0.1531,2018-06-11 01:08:24+00:00,0.0,0.852,CBS,0.148,-50
51,0.8834,2018-06-11 01:02:47+00:00,0.0,0.437,CBS,0.563,-51
52,0.0,2018-06-11 00:58:06+00:00,0.0,1.0,CBS,0.0,-52
53,0.2714,2018-06-11 00:52:34+00:00,0.0,0.793,CBS,0.207,-53
54,0.0,2018-06-11 00:51:11+00:00,0.0,1.0,CBS,0.0,-54
